"kind","url","status","title","note","finalUrl"
"page","http://185.23.72.228/ar/tr/bagis-kategorileri/insani-yardim","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/bagis-kategorileri/insani-yardim"
"page","http://185.23.72.228/ar/tr/bagis-kategorileri/saglik","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/bagis-kategorileri/saglik"
"page","http://185.23.72.228/ar/tr/canli-yayin","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/canli-yayin"
"page","http://185.23.72.228/ar/tr/cerez-politikasi","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/cerez-politikasi"
"page","http://185.23.72.228/ar/tr/etkinlikler","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/etkinlikler"
"page","http://185.23.72.228/ar/tr/faaliyet-alanlari","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/faaliyet-alanlari"
"page","http://185.23.72.228/ar/tr/fitre-hesaplayici","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/fitre-hesaplayici"
"page","http://185.23.72.228/ar/tr/giris","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/giris"
"page","http://185.23.72.228/ar/tr/gizlilik-politikasi","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/gizlilik-politikasi"
"page","http://185.23.72.228/ar/tr/gonullu","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/gonullu"
"page","http://185.23.72.228/ar/tr/haberler","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/haberler"
"page","http://185.23.72.228/ar/tr/haberler/egitim-bursu-guncelleme","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/haberler/egitim-bursu-guncelleme"
"page","http://185.23.72.228/ar/tr/haberler/kurban-bayrami-kampanyasi","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/haberler/kurban-bayrami-kampanyasi"
"page","http://185.23.72.228/ar/tr/haberler/ramazan-kampanyasi-duyurusu","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/haberler/ramazan-kampanyasi-duyurusu"
"page","http://185.23.72.228/ar/tr/haberler/yeni-su-kuyusu-projesi-baslatildi","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/haberler/yeni-su-kuyusu-projesi-baslatildi"
"page","http://185.23.72.228/ar/tr/hakkimizdabbbb","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/hakkimizdabbbb"
"page","http://185.23.72.228/ar/tr/hediye-katalogu","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/hediye-katalogu"
