kind,url,status,title,note,finalUrl
page,http://185.23.72.228/admin/donation-categories/4/edit,200,Bağış Kategorisi düzenle - Dernek Yönetim,,http://185.23.72.228/admin/donation-categories/4/edit
page,http://185.23.72.228/admin/donation-categories/6/edit,200,Bağış Kategorisi düzenle - Dernek Yönetim,,http://185.23.72.228/admin/donation-categories/6/edit
page,http://185.23.72.228/admin/donation-categories/7/edit,200,Bağış Kategorisi düzenle - Dernek Yönetim,,http://185.23.72.228/admin/donation-categories/7/edit
page,http://185.23.72.228/admin/donation-categories/create,200,Bağış Kategorisi oluştur - Dernek Yönetim,,http://185.23.72.228/admin/donation-categories/create
page,http://185.23.72.228/admin/donations,200,Bağışlar - Dernek Yönetim,,http://185.23.72.228/admin/donations
page,http://185.23.72.228/admin/donations/34/edit,200,Bağış düzenle - Dernek Yönetim,,http://185.23.72.228/admin/donations/34/edit
page,http://185.23.72.228/admin/donations/35/edit,200,Bağış düzenle - Dernek Yönetim,,http://185.23.72.228/admin/donations/35/edit
page,http://185.23.72.228/admin/donations/42/edit,200,Bağış düzenle - Dernek Yönetim,,http://185.23.72.228/admin/donations/42/edit
page,http://185.23.72.228/admin/donations/44/edit,200,Bağış düzenle - Dernek Yönetim,,http://185.23.72.228/admin/donations/44/edit
page,http://185.23.72.228/admin/donations/58/edit,200,Bağış düzenle - Dernek Yönetim,,http://185.23.72.228/admin/donations/58/edit
page,http://185.23.72.228/admin/donations/59/edit,200,Bağış düzenle - Dernek Yönetim,,http://185.23.72.228/admin/donations/59/edit
page,http://185.23.72.228/admin/donations/60/edit,200,Bağış düzenle - Dernek Yönetim,,http://185.23.72.228/admin/donations/60/edit
page,http://185.23.72.228/admin/donations/61/edit,200,Bağış düzenle - Dernek Yönetim,,http://185.23.72.228/admin/donations/61/edit
page,http://185.23.72.228/admin/donations/62/edit,200,Bağış düzenle - Dernek Yönetim,,http://185.23.72.228/admin/donations/62/edit
page,http://185.23.72.228/admin/donations/63/edit,200,Bağış düzenle - Dernek Yönetim,,http://185.23.72.228/admin/donations/63/edit
page,http://185.23.72.228/admin/donations/64/edit,200,Bağış düzenle - Dernek Yönetim,,http://185.23.72.228/admin/donations/64/edit
page,http://185.23.72.228/admin/donations/65/edit,200,Bağış düzenle - Dernek Yönetim,,http://185.23.72.228/admin/donations/65/edit
page,http://185.23.72.228/admin/events,200,Etkinlikler - Dernek Yönetim,,http://185.23.72.228/admin/events
page,http://185.23.72.228/admin/events/1/edit,200,Etkinlik düzenle - Dernek Yönetim,,http://185.23.72.228/admin/events/1/edit
page,http://185.23.72.228/admin/events/2/edit,200,Etkinlik düzenle - Dernek Yönetim,,http://185.23.72.228/admin/events/2/edit
page,http://185.23.72.228/admin/events/create,200,Etkinlik oluştur - Dernek Yönetim,,http://185.23.72.228/admin/events/create
page,http://185.23.72.228/admin/external-sync-logs,200,Senkronizasyon Logları - Dernek Yönetim,,http://185.23.72.228/admin/external-sync-logs
page,http://185.23.72.228/admin/gift-catalog-items,200,Hediye Kataloğu - Dernek Yönetim,,http://185.23.72.228/admin/gift-catalog-items
